No,Job Title,Company,Location,Salary,Reward (MMK),Urgent
1,Senior Supervisor,RK Yangon Steel,Thanlyin,7.5 Lakhs to 10 Lakhs,200000,Yes
2,Warehouse Supervisor,Universal Energy,Thingangyun,Nego,50000,Yes
3,Content & Script Writer,Shwe Taung Htun,Mingalar Taung Nyunt,4 Lakhs to 6 Lakhs,75000,Yes
4,Site Engineer,Sun Myat Tun,Botahtaung,7.5 Lakhs,200000,Yes
5,Data Collector,NielsenIQ Myanmar,"Mdy,Sagaing,Meikhtila",3.5 Lakhs,50000,Yes
6,Loan Officer,Real Aid Microfinance,Ayeyarwady,4 Lakhs to 5 Lakhs,75000,Yes
7,Cashier,Real Aid Microfinance,Ayeyarwady,Above 3 Lakhs,50000,Yes
8,Brand Executive,Unicharm Myanmar,Yankin,7 Lakhs to 9 Lakhs,200000,Yes
9,Assistant Brand Manager,Unicharm Myanmar,Yankin,15 Lakhs to 17 Lakhs,400000,Yes
10,Receptionist,Myanmar Information Technology,Insein,3 Lakhs to 4 Lakhs,50000,Yes
11,Assistant Accountant,KBZ Life Insurance,Bahan,4 Lakhs to 5 Lakhs,75000,Yes
12,Accountant,Universal Energy,Thingangyun,6 Lakhs to 7 Lakhs,200000,Yes
13,Online Sale,Salpyar ,North Dagon,2.4 Lakhs,50000,Yes
14,Graphic Designer,WOW Sport,Kamaryut,Around 10 Lakhs,300000,Yes
15,Senior Sales Executive,WOW Sport,Kamaryut,10 Lakhs,300000,Yes
16,Senior Agency Sales Representative,AMI,Kamaryut,5 Lakhs to 6.5 Lakhs,75000,Yes
17,Admin Supervisor,TOMO,South Dagon,5 Lakhs to 6 Lakhs,75000,Yes
18,IT Supervisor,Wave Plus,Mingalardon,6 Lakhs,75000,Yes
19,Sales Staff,Yangoods,Pyin Oo Lwin,2.04 Lakhs,50000,Yes
20,Senior Page Admin,TOMO,Tamwe,Nego,50000,Yes
21,Junior Page Admin,TOMO,Tamwe,3 Lakhs to 3.5 Lakhs,50000,Yes
22,Junior Accountant,Unicharm Myanmar,Yankin,3.5 Lakhs to 4 Lakhs,50000,Yes
23,Accountant,GK International Company,Kamaryut,6.5 Lakhs to 8 Lakhs,200000,Yes
24,Assistant Project Coordinator,GK International Company,Kamaryut,3.5 Lakhs to 5 Lakhs,75000,Yes
25,Interior Designer,Delight Amatat,Thingangyun,10 Lakhs to 15 Lakhs,300000,Yes
26,Quantity Surveyor,Delight Amatat,Thingangyun,10 Lakhs to 15 Lakhs,300000,Yes
